date_of_interest,days,CASE_COUNT,PROBABLE_CASE_COUNT,case count + probable,DEATH_COUNT,CASE_COUNT_7DAY_AVG,ALL_CASE_COUNT_7DAY_AVG,reinfection estimated,7 day average reinfections,7 day average integer reinfections,XBB.1.5 percent,XBB.1.5 infections,XBB.1.5 reinfections,other infections,other reinfections
11/27/2022,1,2024,286,2310,12,2251,2779,1072,1024.428571,1024,15,347,154,1963,870
11/28/2022,2,4784,1194,5978,20,2504,3095,1072,1071.428571,1071,15,897,161,5081,910
11/29/2022,3,3886,944,4830,18,2674,3318,1046,1067.857143,1068,15,725,160,4105,908
11/30/2022,4,3216,826,4042,19,2747,3395,1046,1064.285714,1064,15,606,160,3436,904
12/1/2022,5,3080,866,3946,19,3043,3765,1046,1060.714286,1061,15,592,159,3354,902
12/2/2022,6,2973,359,3332,16,3143,3868,1046,1057.142857,1057,15,500,159,2832,898
12/3/2022,7,1662,560,2222,25,3089,3809,1046,1053.428571,1053,15,333,158,1889,895
12/4/2022,8,1838,857,2695,12,3063,3864,1046,1049.714286,1050,28,755,294,1940,756
12/5/2022,9,4104,1088,5192,20,2966,3751,1046,1046,1046,28,1454,293,3738,753
12/6/2022,10,3307,972,4279,24,2883,3673,1123,1057,1057,28,1198,296,3081,761
12/7/2022,11,3424,909,4333,16,2913,3714,1123,1068,1068,28,1213,299,3120,769
12/8/2022,12,3148,937,4085,23,2922,3734,1124,1079.142857,1079,28,1144,302,2941,777
12/9/2022,13,2977,799,3776,20,2923,3797,1124,1090.285714,1090,28,1057,305,2719,785
12/10/2022,14,1729,630,2359,20,2932,3817,1124,1101.428571,1101,28,661,308,1698,793
12/11/2022,15,1686,641,2327,31,2911,3764,1124,1112.571429,1113,43,1001,479,1326,634
12/12/2022,16,4072,1083,5155,23,2906,3759,1124,1123.714286,1124,43,2217,483,2938,641
12/13/2022,17,3636,963,4599,19,2953,3805,972,1102.142857,1102,43,1978,474,2621,628
12/14/2022,18,3412,925,4337,28,2951,3805,973,1080.714286,1081,43,1865,465,2472,616
12/15/2022,19,2967,855,3822,29,2926,3768,973,1059.142857,1059,43,1643,455,2179,604
12/16/2022,20,2661,755,3416,21,2880,3716,973,1037.571429,1038,43,1469,446,1947,592
12/17/2022,21,2026,686,2712,21,2923,3767,973,1016,1016,43,1166,437,1546,579
12/18/2022,22,1866,736,2602,29,2949,3806,973,994.4285714,994,56,1457,557,1145,437
12/19/2022,23,3943,1044,4987,19,2930,3782,973,972.8571429,973,56,2793,545,2194,428
12/20/2022,24,3446,1014,4460,29,2903,3762,984,974.5714286,975,56,2498,546,1962,429
12/21/2022,25,3341,900,4241,25,2893,3749,984,976.1428571,976,56,2375,547,1866,429
12/22/2022,26,2841,784,3625,22,2875,3720,984,977.7142857,978,56,2030,548,1595,430
12/23/2022,27,2407,779,3186,30,2839,3688,984,979.2857143,979,56,1784,548,1402,431
12/24/2022,28,1027,422,1449,25,2696,3507,984,980.8571429,981,56,811,549,638,432
12/25/2022,29,846,308,1154,28,2550,3300,985,982.5714286,983,69,796,678,358,305
12/26/2022,30,2323,968,3291,29,2319,3058,985,984.2857143,984,69,2271,679,1020,305
12/27/2022,31,3473,988,4461,32,2323,3058,1037,991.8571429,992,69,3078,684,1383,308
12/28/2022,32,3176,916,4092,34,2299,3037,1037,999.4285714,999,69,2823,689,1269,310
12/29/2022,33,3086,805,3891,29,2334,3075,1037,1007,1007,69,2685,695,1206,312
12/30/2022,34,2701,784,3485,33,2376,3118,1037,1014.571429,1015,69,2405,700,1080,315
12/31/2022,35,1456,566,2022,23,2437,3199,1037,1022.142857,1022,69,1395,705,627,317
1/1/2023,36,1141,451,1592,30,2479,3262,1037,1029.571429,1030,78,1242,803,350,227
1/2/2023,37,2817,983,3800,22,2550,3335,1038,1037.142857,1037,78,2964,809,836,228
1/3/2023,38,3805,992,4797,27,2597,3383,745,995.4285714,995,78,3742,776,1055,219
1/4/2023,39,3354,939,4293,25,2623,3411,745,953.7142857,954,78,3349,744,944,210
1/5/2023,40,2891,838,3729,26,2595,3388,745,912,912,78,2909,711,820,201
1/6/2023,41,2482,746,3228,42,2564,3352,745,870.2857143,870,78,2518,679,710,191
1/7/2023,42,1458,480,1938,23,2564,3340,745,828.5714286,829,78,1512,647,426,182
1/8/2023,43,1343,528,1871,19,2593,3379,745,786.8571429,787,84,1572,661,299,126
1/9/2023,44,2871,738,3609,29,2601,3352,746,745.1428571,745,84,3032,626,577,119
1/10/2023,45,2449,630,3079,19,2407,3107,651,731.7142857,732,84,2586,615,493,117
1/11/2023,46,2215,562,2777,17,2244,2890,651,718.2857143,718,84,2333,603,444,115
1/12/2023,47,2081,591,2672,18,2128,2739,651,704.8571429,705,84,2244,592,428,113
1/13/2023,48,1854,536,2390,23,2039,2619,651,691.4285714,691,84,2008,580,382,111
1/14/2023,49,1118,381,1499,27,1990,2557,651,678,678,84,1259,570,240,108
1/15/2023,50,1035,393,1428,19,1946,2493,652,664.7142857,665,90,1285,599,143,66
1/16/2023,51,1716,541,2257,19,1781,2300,652,651.2857143,651,90,2031,586,226,65
1/17/2023,52,2453,662,3115,22,1782,2305,566,639.1428571,639,90,2804,575,311,64
1/18/2023,53,1817,545,2362,15,1725,2246,567,627.1428571,627,90,2126,564,236,63
1/19/2023,54,1723,440,2163,14,1674,2173,567,615.1428571,615,90,1947,554,216,61
1/20/2023,55,1685,460,2145,23,1650,2138,567,603.1428571,603,90,1931,543,214,60
1/21/2023,56,1000,337,1337,25,1633,2115,567,591.1428571,591,90,1203,532,134,59
1/22/2023,57,949,397,1346,23,1620,2104,567,579,579,91,1225,527,121,52
1/23/2023,58,1995,550,2545,20,1660,2145,567,566.8571429,567,91,2316,516,229,51
1/24/2023,59,1803,488,2291,30,1567,2027,451,550.4285714,550,91,2085,501,206,49
1/25/2023,60,1504,446,1950,22,1523,1968,451,533.8571429,534,91,1775,486,175,48
1/26/2023,61,1554,390,1944,16,1499,1937,451,517.2857143,517,91,1769,470,175,47
1/27/2023,62,1413,393,1806,15,1460,1888,451,500.7142857,501,91,1643,456,163,45
1/28/2023,63,841,301,1142,15,1437,1861,452,484.2857143,484,91,1039,440,103,44
1/29/2023,64,738,294,1032,20,1407,1816,452,467.8571429,468,93,960,435,72,33
1/30/2023,65,1934,464,2398,17,1398,1795,452,451.4285714,451,93,2230,419,168,32
1/31/2023,66,1570,385,1955,19,1365,1747,365,439.1428571,439,93,1818,408,137,31
2/1/2023,67,1306,316,1622,20,1337,1700,366,427,427,93,1508,397,114,30
2/2/2023,68,1207,371,1578,18,1287,1648,366,414.8571429,415,93,1468,386,110,29
2/3/2023,69,990,263,1253,16,1227,1569,366,402.7142857,403,93,1165,375,88,28
2/4/2023,70,492,173,665,21,1177,1500,366,390.4285714,390,93,618,363,47,27
2/5/2023,71,595,265,860,17,1156,1476,366,378.1428571,378,94,808,355,52,23
2/6/2023,72,1547,388,1935,11,1101,1410,366,365.8571429,366,94,1819,344,116,22
2/7/2023,73,1233,283,1516,13,1053,1347,291,355.2857143,355,94,1425,334,91,21
2/8/2023,74,1073,293,1366,10,1020,1310,291,344.5714286,345,94,1284,324,82,21
2/9/2023,75,988,283,1271,15,988,1267,291,333.8571429,334,94,1195,314,76,20
2/10/2023,76,898,215,1113,18,975,1247,291,323.1428571,323,94,1046,304,67,19
2/11/2023,77,544,171,715,16,983,1254,291,312.4285714,312,94,672,293,43,19
2/12/2023,78,511,216,727,10,971,1235,291,301.7142857,302,92,669,278,58,24
2/13/2023,79,1180,309,1489,7,918,1171,292,291.1428571,291,92,1370,268,119,23
2/14/2023,80,921,241,1162,13,874,1120,231,282.5714286,283,92,1069,260,93,23
2/15/2023,81,881,238,1119,15,846,1085,231,274,274,92,1029,252,90,22
2/16/2023,82,863,244,1107,9,828,1062,231,265.4285714,265,92,1018,244,89,21
2/17/2023,83,614,151,765,20,788,1012,232,257,257,92,704,236,61,21
2/18/2023,84,426,173,599,11,771,995,232,248.5714286,249,92,551,229,48,20
2/19/2023,85,383,157,540,10,753,969,232,240.1428571,240,90,486,216,54,24
2/20/2023,86,600,199,799,14,670,870,232,231.5714286,232,90,719,209,80,23
2/21/2023,87,785,219,1004,12,650,848,192,226,226,90,904,203,100,23
2/22/2023,88,650,158,808,8,617,803,192,220.4285714,220,90,727,198,81,22
2/23/2023,89,677,178,855,4,591,767,192,214.8571429,215,90,770,194,85,21
2/24/2023,90,535,162,697,8,579,757,193,209.2857143,209,90,627,188,70,21
2/25/2023,91,331,116,447,7,566,736,193,203.7142857,204,90,402,184,45,20
2/26/2023,92,351,134,485,6,561,728,193,198.1428571,198,87,422,172,63,26
2/27/2023,93,790,195,985,8,588,754,193,192.5714286,193,87,857,168,128,25
2/28/2023,94,538,123,661,5,553,705,150,186.5714286,187,87,575,163,86,24
3/1/2023,95,526,186,712,5,535,692,150,180.5714286,181,87,619,157,93,24
3/2/2023,96,517,138,655,8,513,663,151,174.7142857,175,87,570,152,85,23
3/3/2023,97,439,105,544,9,499,641,151,168.7142857,169,87,473,147,71,22
3/4/2023,98,269,81,350,6,490,627,151,162.7142857,163,87,305,142,45,21
3/5/2023,99,220,84,304,7,471,602,151,156.7142857,157,89,271,140,33,17
3/6/2023,100,600,136,736,6,444,566,151,150.7142857,151,89,655,134,81,17
